Time,Watering intensity,Shutters,UV-Lamps,Heating
Tue Oct 06 19:00:00 CEST 2020,0,1,1,1
Tue Oct 06 20:00:00 CEST 2020,0,1,1,1
Tue Oct 06 21:00:00 CEST 2020,0,1,1,1
Tue Oct 06 22:00:00 CEST 2020,0,1,1,1
Tue Oct 06 23:00:00 CEST 2020,0,1,1,1
Wed Oct 07 00:00:00 CEST 2020,0,1,1,1
Wed Oct 07 01:00:00 CEST 2020,0,1,1,1
Wed Oct 07 02:00:00 CEST 2020,0,1,1,1
Wed Oct 07 03:00:00 CEST 2020,0,1,0,1
Wed Oct 07 04:00:00 CEST 2020,0,1,0,1
Wed Oct 07 05:00:00 CEST 2020,0,1,0,1
Wed Oct 07 06:00:00 CEST 2020,0,1,0,1
Wed Oct 07 07:00:00 CEST 2020,0,0,0,1
Wed Oct 07 08:00:00 CEST 2020,0,1,0,1
Wed Oct 07 09:00:00 CEST 2020,0,1,0,1
Wed Oct 07 10:00:00 CEST 2020,0,1,0,1
Wed Oct 07 11:00:00 CEST 2020,0,1,0,1
Wed Oct 07 12:00:00 CEST 2020,0,1,0,1
Wed Oct 07 13:00:00 CEST 2020,0,1,0,1
Wed Oct 07 14:00:00 CEST 2020,0,1,0,1
Wed Oct 07 15:00:00 CEST 2020,0,1,0,1
Wed Oct 07 16:00:00 CEST 2020,0,1,0,1
Wed Oct 07 17:00:00 CEST 2020,0,1,0,1
Wed Oct 07 18:00:00 CEST 2020,0,1,0,1
Wed Oct 07 19:00:00 CEST 2020,0,1,1,1
Wed Oct 07 20:00:00 CEST 2020,0,1,1,1
Wed Oct 07 21:00:00 CEST 2020,0,1,1,1
Wed Oct 07 22:00:00 CEST 2020,0,1,1,1
Wed Oct 07 23:00:00 CEST 2020,0,1,1,1
Thu Oct 08 00:00:00 CEST 2020,0,1,1,1
Thu Oct 08 01:00:00 CEST 2020,0,1,0,1
Thu Oct 08 02:00:00 CEST 2020,0,1,0,1
Thu Oct 08 03:00:00 CEST 2020,0,1,0,1
Thu Oct 08 04:00:00 CEST 2020,0,1,0,1
Thu Oct 08 05:00:00 CEST 2020,0,1,0,1
Thu Oct 08 06:00:00 CEST 2020,0,1,0,1
Thu Oct 08 07:00:00 CEST 2020,0,1,0,1
Thu Oct 08 08:00:00 CEST 2020,0,1,0,1
Thu Oct 08 09:00:00 CEST 2020,0,1,0,1
Thu Oct 08 10:00:00 CEST 2020,0,1,0,1
Thu Oct 08 11:00:00 CEST 2020,0,1,0,1
Thu Oct 08 12:00:00 CEST 2020,0,1,0,1
Thu Oct 08 13:00:00 CEST 2020,0,1,0,1
Thu Oct 08 14:00:00 CEST 2020,0,1,0,1
Thu Oct 08 15:00:00 CEST 2020,0,1,0,1
Thu Oct 08 16:00:00 CEST 2020,0,1,0,1
Thu Oct 08 17:00:00 CEST 2020,0,1,0,1
Thu Oct 08 18:00:00 CEST 2020,0,1,0,1
Thu Oct 08 19:00:00 CEST 2020,0,0,1,1
Thu Oct 08 20:00:00 CEST 2020,0,1,1,1
Thu Oct 08 21:00:00 CEST 2020,0,1,1,1
Thu Oct 08 22:00:00 CEST 2020,0,1,1,1
Thu Oct 08 23:00:00 CEST 2020,0,1,0,1
Fri Oct 09 00:00:00 CEST 2020,0,1,0,1
Fri Oct 09 01:00:00 CEST 2020,0,1,0,1
Fri Oct 09 02:00:00 CEST 2020,0,1,0,1
Fri Oct 09 03:00:00 CEST 2020,0,1,0,1
Fri Oct 09 04:00:00 CEST 2020,0,1,0,1
Fri Oct 09 05:00:00 CEST 2020,0,1,0,1
Fri Oct 09 06:00:00 CEST 2020,0,1,0,1
Fri Oct 09 07:00:00 CEST 2020,0,1,0,1
Fri Oct 09 08:00:00 CEST 2020,0,1,0,1
Fri Oct 09 09:00:00 CEST 2020,0,1,0,1
Fri Oct 09 10:00:00 CEST 2020,0,1,0,1
Fri Oct 09 11:00:00 CEST 2020,0,1,0,1
Fri Oct 09 12:00:00 CEST 2020,0,1,0,1
Fri Oct 09 13:00:00 CEST 2020,0,1,0,1
Fri Oct 09 14:00:00 CEST 2020,0,1,0,1
Fri Oct 09 15:00:00 CEST 2020,0,1,0,1
Fri Oct 09 16:00:00 CEST 2020,0,1,0,1
Fri Oct 09 17:00:00 CEST 2020,0,1,0,1
Fri Oct 09 18:00:00 CEST 2020,0,1,0,1
Fri Oct 09 19:00:00 CEST 2020,0,1,1,1
Fri Oct 09 20:00:00 CEST 2020,0,1,1,1
Fri Oct 09 21:00:00 CEST 2020,0,1,1,1
Fri Oct 09 22:00:00 CEST 2020,0,1,1,1
Fri Oct 09 23:00:00 CEST 2020,0,1,1,1
Sat Oct 10 00:00:00 CEST 2020,0,1,1,1
Sat Oct 10 01:00:00 CEST 2020,0,1,1,1
Sat Oct 10 02:00:00 CEST 2020,0,1,1,1
Sat Oct 10 03:00:00 CEST 2020,0,1,0,1
Sat Oct 10 04:00:00 CEST 2020,0,1,0,1
Sat Oct 10 05:00:00 CEST 2020,0,1,0,1
Sat Oct 10 06:00:00 CEST 2020,0,1,0,1
Sat Oct 10 07:00:00 CEST 2020,0,1,0,1
Sat Oct 10 08:00:00 CEST 2020,0,1,0,1
Sat Oct 10 09:00:00 CEST 2020,0,1,0,1
Sat Oct 10 10:00:00 CEST 2020,0,1,0,1
Sat Oct 10 11:00:00 CEST 2020,0,1,0,1
Sat Oct 10 12:00:00 CEST 2020,0,1,0,1
Sat Oct 10 13:00:00 CEST 2020,0,1,0,1
Sat Oct 10 14:00:00 CEST 2020,0,1,0,1
Sat Oct 10 15:00:00 CEST 2020,0,1,0,1
Sat Oct 10 16:00:00 CEST 2020,0,1,0,1
Sat Oct 10 17:00:00 CEST 2020,0,1,0,1
Sat Oct 10 18:00:00 CEST 2020,0,1,0,1
